City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ponta Do Sol,PT,32.6667,-17.1,61.72,70,90,8.3,overcast clouds
1,Ushuaia,AR,-54.8,-68.3,56.86,62,20,4.61,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,55.51,76,75,11.5,light intensity shower rain
3,Puerto Escondido,MX,15.85,-97.0667,79.63,73,40,5.75,scattered clouds
4,Atuona,PF,-9.8,-139.0333,78.94,77,17,18.25,few clouds
5,Sindon,PH,17.0603,122.0151,72.39,93,100,2.77,overcast clouds
6,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,13.8,light rain
7,Los Llanos De Aridane,ES,28.6585,-17.9182,58.75,77,100,8.01,overcast clouds
8,Kidal,ML,18.4411,1.4078,62.02,19,8,7.49,clear sky
9,Kizukuri,JP,40.8061,140.3861,35.94,83,100,13.44,light snow
10,Clyde River,CA,70.4692,-68.5914,-19.97,69,0,5.75,clear sky
11,Kargil,IN,34.5667,76.1,-22.47,80,98,1.23,overcast clouds
12,Havoysund,NO,70.9963,24.6622,30.43,77,43,8.66,scattered clouds
13,Provideniya,RU,64.3833,-173.3,-5.69,65,0,11.18,clear sky
14,Tadine,NC,-21.55,167.8833,74.35,82,100,14.38,moderate rain
15,Chokurdakh,RU,70.6333,147.9167,-36.27,100,40,4.23,scattered clouds
16,Busselton,AU,-33.65,115.3333,73.4,36,59,8.14,broken clouds
17,Vestmannaeyjar,IS,63.4427,-20.2734,21.88,74,0,18.81,clear sky
18,Komsomolskiy,UZ,40.4272,71.7189,14.72,73,5,0.0,clear sky
19,Iqaluit,CA,63.7506,-68.5145,-7.31,63,100,3.44,light snow
20,Lalmohan,BD,22.3384,90.7419,66.11,51,0,10.09,clear sky
21,Hobart,AU,-42.8794,147.3294,73.26,54,40,13.8,scattered clouds
22,Hermanus,ZA,-34.4187,19.2345,72.81,89,98,8.72,overcast clouds
23,Airai,TL,-8.9266,125.4092,72.93,66,100,3.18,overcast clouds
24,Cherskiy,RU,68.75,161.3,-48.68,99,68,4.18,broken clouds
25,Cape Town,ZA,-33.9258,18.4232,73.38,73,20,8.05,few clouds
26,Upernavik,GL,72.7868,-56.1549,-11.79,95,100,5.97,overcast clouds
27,Kodino,RU,63.7198,39.6447,4.3,99,89,3.91,overcast clouds
28,Kapaa,US,22.0752,-159.319,80.92,73,0,9.22,clear sky
29,Nikolskoye,RU,59.7035,30.7861,33.69,97,100,10.69,snow
30,Geraldton,AU,-28.7667,114.6,97.21,24,0,18.41,clear sky
31,Jamestown,US,42.097,-79.2353,40.01,72,100,18.41,overcast clouds
32,Albany,US,42.6001,-73.9662,34.54,88,100,2.24,overcast clouds
33,Avarua,CK,-21.2078,-159.775,82.45,69,40,4.61,scattered clouds
34,Shirdi,IN,19.7667,74.4833,65.34,48,3,2.84,clear sky
35,Chicama,PE,-7.8447,-79.1469,66.74,71,34,3.29,scattered clouds
36,Tiarei,PF,-17.5333,-149.3333,84.22,78,7,10.63,light rain
37,Cayenne,GF,4.9333,-52.3333,75.24,94,97,1.14,overcast clouds
38,Zimovniki,RU,47.1483,42.4633,32.25,92,100,11.68,overcast clouds
39,Mataura,NZ,-46.1927,168.8643,79.29,36,2,2.24,clear sky
40,Dubbo,AU,-32.25,148.6167,93.33,26,4,8.05,clear sky
41,Hambantota,LK,6.1241,81.1185,77.34,88,75,9.22,broken clouds
42,Rikitea,PF,-23.1203,-134.9692,79.12,69,98,5.75,overcast clouds
43,East London,ZA,-33.0153,27.9116,76.14,94,0,4.61,clear sky
44,Chuy,UY,-33.6971,-53.4616,68.34,81,0,7.9,clear sky
45,Soria,ES,41.6667,-2.6667,30.11,89,87,19.82,overcast clouds
46,Salym,RU,60.0625,71.4789,6.48,94,71,5.64,broken clouds
47,Mount Gambier,AU,-37.8333,140.7667,65.08,46,85,13.8,overcast clouds
48,Baykit,RU,61.67,96.37,-45.36,99,31,2.24,scattered clouds
49,Laguna,US,38.421,-121.4238,48.18,83,0,0.0,clear sky
50,Klaksvik,FO,62.2266,-6.589,32.92,64,100,31.14,overcast clouds
51,Tayoltita,MX,24.0833,-105.9333,52.43,72,61,3.0,broken clouds
52,Fortuna,US,40.5982,-124.1573,46.98,90,100,0.0,overcast clouds
53,Port-Gentil,GA,-0.7193,8.7815,80.65,77,100,6.6,overcast clouds
54,Casablanca,MA,33.5928,-7.6192,59.32,82,98,5.99,overcast clouds
55,Leningradskiy,RU,69.3833,178.4167,-26.93,96,93,8.79,overcast clouds
56,Saskylakh,RU,71.9167,114.0833,-26.46,100,99,7.16,overcast clouds
57,Bluff,NZ,-46.6,168.3333,60.39,72,0,13.02,clear sky
58,Port Alfred,ZA,-33.5906,26.891,74.17,96,100,6.67,overcast clouds
59,Dikson,RU,73.5069,80.5464,-12.05,74,100,11.12,overcast clouds
60,Jamsa,FI,61.8642,25.19,33.15,96,100,10.83,light snow
61,Puerto Ayora,EC,-0.7393,-90.3518,75.54,97,58,1.01,broken clouds
62,Korla,CN,41.7597,86.1469,6.35,86,6,0.58,clear sky
63,Yar-Sale,RU,66.8333,70.8333,8.46,96,100,6.89,overcast clouds
64,Hasaki,JP,35.7333,140.8333,54.28,66,95,9.86,overcast clouds
65,College,US,64.8569,-147.8028,-5.93,81,0,4.61,clear sky
66,Kirakira,SB,-10.4544,161.9205,81.97,82,100,11.61,overcast clouds
67,Bredasdorp,ZA,-34.5322,20.0403,70.81,90,100,2.3,overcast clouds
68,Qaanaaq,GL,77.484,-69.3632,-19.17,87,90,5.99,overcast clouds
69,Dobryatino,RU,55.5055,41.3195,22.62,83,100,12.17,overcast clouds
70,Yellowknife,CA,62.456,-114.3525,10.92,92,100,4.61,light snow
71,Constitucion,CL,-35.3333,-72.4167,54.1,89,1,7.09,clear sky
72,Semme,FR,46.1963,1.5007,34.21,98,100,7.96,light snow
73,Keith,GB,57.5363,-2.9481,35.65,78,100,18.32,light snow
74,Srednekolymsk,RU,67.45,153.6833,-37.21,97,100,5.46,overcast clouds
75,Cabo San Lucas,MX,22.8909,-109.9124,70.52,78,20,11.5,few clouds
76,Saint-Philippe,RE,-21.3585,55.7679,78.39,85,100,14.56,overcast clouds
77,Bacungan,PH,9.9106,118.7022,86.05,74,75,9.22,broken clouds
78,Husavik,IS,66.0449,-17.3389,24.4,81,100,14.63,light snow
79,Bubaque,GW,11.2833,-15.8333,78.06,58,100,6.51,overcast clouds
80,Pokosnoye,RU,55.5258,101.0536,-16.87,90,99,11.86,overcast clouds
81,Codrington,AU,-38.2667,141.9667,62.51,53,100,20.18,overcast clouds
82,Belfast,GB,54.5833,-5.9333,37.22,83,20,6.91,few clouds
